presynaptic cell,postsynaptic cell,weight
ADAL,ADAR,0.096467
ADAL,ASHL,0.017961
ADAL,AVAL,-0.017452
ADAL,AVAR,-0.005740
ADAL,AVBL,-0.007802
ADAL,AVBR,-0.003215
ADAL,AVDL,-0.000024
ADAL,AVDR,0.002754
ADAL,AVEL,0.003625
ADAL,AVER,-0.002736
ADAL,AVJL,-0.009950
ADAL,AVJR,0.003649
ADAL,AWBL,0.000305
ADAL,FLPR,-0.000508
ADAL,OLQVL,0.007830
ADAL,RICL,0.022217
ADAL,RICR,-0.005149
ADAL,RIML,0.004670
ADAL,RIPL,0.002669
ADAL,SAADL,0.010680
ADAL,SMDVR,-0.005408
ADAL,URXL,0.001900
ADAR,ADAL,0.077205
ADAR,ADER,0.053755
ADAR,ASHR,-0.002059
ADAR,AVAL,0.026395
ADAR,AVAR,0.012612
ADAR,AVBL,0.015559
ADAR,AVBR,0.004977
ADAR,AVDL,0.003518
ADAR,AVDR,0.004324
ADAR,AVEL,-0.003088
ADAR,AVER,-0.001336
ADAR,AVJL,0.003033
ADAR,AWBR,0.004221
ADAR,RICL,0.004779
ADAR,RICR,0.004876
ADAR,RIMR,0.006671
ADAR,RIVR,0.005755
ADAR,RMFR,-0.002929
ADAR,SAADR,0.001809
ADAR,SMDDR,-0.001539
ADAR,SMDVL,0.011673
ADAR,URXR,0.004853
ADEL,ADAL,0.017365
ADEL,ADER,-0.025657
ADEL,AINL,0.017445
ADEL,AQR,-0.001965
ADEL,ASJL,0.049474
ADEL,AVAL,0.009058
ADEL,AVAR,-0.002342
ADEL,AVDL,0.004081
ADEL,AVEL,0.002990
ADEL,AVKL,0.003211
ADEL,AVKR,0.037298
ADEL,CEPDL,0.010873
ADEL,CEPVL,-0.006209
ADEL,FLPL,0.067638
ADEL,IL2L,0.003199
ADEL,OLLL,-0.026554
ADEL,RIAL,-0.010245
ADEL,RIGL,-0.003539
ADEL,RIGR,-0.005372
ADEL,RIH,0.002061
ADEL,RIVL,-0.010053
ADEL,RIVR,0.008322
ADEL,RMDDR,0.027560
ADEL,RMDL,-0.006395
ADEL,RMDR,-0.042083
ADEL,RMER,-0.003082
ADEL,RMFR,-0.004142
ADEL,RMGL,0.003277
